product_name,date,quantity_sold,revenue,customer_id,month,year,category,price_band
"YATAN NANDANI Dairy Vermicompost, Organic Supplement for Agriculture, 5.6-14.4% Organic Carbon, 0.8-1.8% Nitrogen",2024-03-17,19.0,18791.95,CUST_4114,3,2024,agriculture,High
"YATAN NANDANI Dairy Vermicompost, Organic Supplement for Agriculture, 5.6-14.4% Organic Carbon, 0.8-1.8% Nitrogen",2023-10-12,5.0,4945.25,CUST_2071,10,2023,agriculture,Low
"YATAN NANDANI Dairy Vermicompost, Organic Supplement for Agriculture, 5.6-14.4% Organic Carbon, 0.8-1.8% Nitrogen",2024-02-23,19.0,18791.95,CUST_1567,2,2024,agriculture,High
"Plant Growth Supplement and Master Cutter for Gardening - Organic Plant Fertilizer, Gardening Tools Combo, Plant Nutrients, Plant Booster, Soil Enhancer, Vegetable and Flower Growth Supplement",2024-03-31,20.0,12411.4,CUST_2240,3,2024,agriculture,High
"Plant Growth Supplement and Master Cutter for Gardening - Organic Plant Fertilizer, Gardening Tools Combo, Plant Nutrients, Plant Booster, Soil Enhancer, Vegetable and Flower Growth Supplement",2024-03-03,1.0,620.57,CUST_2445,3,2024,agriculture,Low
"Plant Growth Supplement and Master Cutter for Gardening - Organic Plant Fertilizer, Gardening Tools Combo, Plant Nutrients, Plant Booster, Soil Enhancer, Vegetable and Flower Growth Supplement",2023-10-27,6.0,3723.42,CUST_9485,10,2023,agriculture,Low
"Organic Carbon (250 gm) Fertilizer For Sueperior Crop Performance 100% Water Soluble | Use For Healthy Crops | Maximize Crop Yield and Natural Carbon Supplements, Boost Crop Resilience with OC",2024-02-07,11.0,12699.28,CUST_7127,2,2024,agriculture,High
"Organic Carbon (250 gm) Fertilizer For Sueperior Crop Performance 100% Water Soluble | Use For Healthy Crops | Maximize Crop Yield and Natural Carbon Supplements, Boost Crop Resilience with OC",2024-01-25,14.0,16162.72,CUST_4013,1,2024,agriculture,High
"Organic Carbon (250 gm) Fertilizer For Sueperior Crop Performance 100% Water Soluble | Use For Healthy Crops | Maximize Crop Yield and Natural Carbon Supplements, Boost Crop Resilience with OC",2024-03-13,9.0,10390.32,CUST_3396,3,2024,agriculture,High
"Organic Carbon (250 gm) Fertilizer For Sueperior Crop Performance 100% Water Soluble | Use For Healthy Crops | Maximize Crop Yield and Natural Carbon Supplements, Boost Crop Resilience with OC",2024-03-17,18.0,20780.64,CUST_1137,3,2024,agriculture,Premium
Hifield PROTECT Ã¢â‚¬â€œ 500 GM Silicon plant supplement powder | Silicon Powder.,2024-02-28,17.0,10686.2,CUST_3049,2,2024,agriculture,High
Hifield PROTECT Ã¢â‚¬â€œ 500 GM Silicon plant supplement powder | Silicon Powder.,2024-04-01,10.0,6286.0,CUST_7978,4,2024,agriculture,Mid
Hifield PROTECT Ã¢â‚¬â€œ 500 GM Silicon plant supplement powder | Silicon Powder.,2023-11-10,14.0,8800.4,CUST_3826,11,2023,agriculture,Mid
Hifield PROTECT Ã¢â‚¬â€œ 500 GM Silicon plant supplement powder | Silicon Powder.,2023-12-29,3.0,1885.8,CUST_5622,12,2023,agriculture,Low
Kay Bee NOVA GA | Plant Growth Regulator for Agriculture and Garden | Reduce Stress caused Due to Biotic and Abiotic Factors - 100 ml,2023-11-12,19.0,7273.96,CUST_4161,11,2023,agriculture,Mid
ACUROBAC AG100 -EM/Bioculture for Agriculture (1 L),2024-02-11,18.0,6012.0,CUST_5947,2,2024,agriculture,Mid
ACUROBAC AG100 -EM/Bioculture for Agriculture (1 L),2024-01-13,1.0,334.0,CUST_8086,1,2024,agriculture,Low
ACUROBAC AG100 -EM/Bioculture for Agriculture (1 L),2024-09-10,14.0,4676.0,CUST_1203,9,2024,agriculture,Low
"IFFCO Urban Gardens - Gypsum Meal -1.8kg - Organic Calcium Sulphate Fertilizer & Soil Conditioner for Lawns, Plants and Home Garden - Plant Nutrient Supplement in Slow-Release Powder",2023-12-08,8.0,7815.36,CUST_7814,12,2023,agriculture,Mid
"IFFCO Urban Gardens - Gypsum Meal -1.8kg - Organic Calcium Sulphate Fertilizer & Soil Conditioner for Lawns, Plants and Home Garden - Plant Nutrient Supplement in Slow-Release Powder",2024-06-15,6.0,5861.52,CUST_6602,6,2024,agriculture,Mid
"IFFCO Urban Gardens - Gypsum Meal -1.8kg - Organic Calcium Sulphate Fertilizer & Soil Conditioner for Lawns, Plants and Home Garden - Plant Nutrient Supplement in Slow-Release Powder",2024-01-16,12.0,11723.04,CUST_3733,1,2024,agriculture,High
"IFFCO Urban Gardens - Gypsum Meal -1.8kg - Organic Calcium Sulphate Fertilizer & Soil Conditioner for Lawns, Plants and Home Garden - Plant Nutrient Supplement in Slow-Release Powder",2023-12-20,17.0,16607.64,CUST_7506,12,2023,agriculture,High
OrganicDews Liquid Seaweed Concentrate for Plants 250 ml with Measuring Cup 25 ml Fertilizer for All Indoor and Outdoor Plants 250 ml,2024-09-03,11.0,17272.31,CUST_8170,9,2024,agriculture,High
OrganicDews Liquid Seaweed Concentrate for Plants 250 ml with Measuring Cup 25 ml Fertilizer for All Indoor and Outdoor Plants 250 ml,2024-04-17,8.0,12561.68,CUST_2015,4,2024,agriculture,High
OrganicDews Liquid Seaweed Concentrate for Plants 250 ml with Measuring Cup 25 ml Fertilizer for All Indoor and Outdoor Plants 250 ml,2023-11-02,2.0,3140.42,CUST_1093,11,2023,agriculture,Low
OrganicDews Liquid Seaweed Concentrate for Plants 250 ml with Measuring Cup 25 ml Fertilizer for All Indoor and Outdoor Plants 250 ml,2024-05-19,6.0,9421.26,CUST_7085,5,2024,agriculture,Mid
Feed Additives and Supplements for Ruminants,2024-06-18,20.0,38228.2,CUST_8709,6,2024,agriculture,Premium
Feed Additives and Supplements for Ruminants,2024-08-25,14.0,26759.74,CUST_1768,8,2024,agriculture,Premium
Feed Additives and Supplements for Ruminants,2024-09-20,9.0,17202.69,CUST_3103,9,2024,agriculture,High
Feed Additives and Supplements for Ruminants,2024-07-23,6.0,11468.46,CUST_8874,7,2024,agriculture,High
Feed Additives and Supplements for Ruminants,2024-02-11,2.0,3822.82,CUST_1833,2,2024,agriculture,Low
Ugaoo Neem Cake Powder for Plants 5 Kg - Organic Fertilizer & Pest Repellent,2024-07-29,15.0,18839.25,CUST_8754,7,2024,agriculture,High
Ugaoo Neem Cake Powder for Plants 5 Kg - Organic Fertilizer & Pest Repellent,2024-08-22,11.0,13815.45,CUST_1656,8,2024,agriculture,High
Ugaoo Neem Cake Powder for Plants 5 Kg - Organic Fertilizer & Pest Repellent,2024-03-10,6.0,7535.7,CUST_8029,3,2024,agriculture,Mid
TrustBasket Epsom Salt for plants (1 KG) | Contains Magnesium Sulfur | Water Soluble Plant Fertilizer | Prevents yellowing of leaves | Plant growth supplement,2024-04-04,9.0,14040.36,CUST_5495,4,2024,agriculture,High
TrustBasket Epsom Salt for plants (1 KG) | Contains Magnesium Sulfur | Water Soluble Plant Fertilizer | Prevents yellowing of leaves | Plant growth supplement,2024-09-23,12.0,18720.48,CUST_7540,9,2024,agriculture,High
TrustBasket Epsom Salt for plants (1 KG) | Contains Magnesium Sulfur | Water Soluble Plant Fertilizer | Prevents yellowing of leaves | Plant growth supplement,2024-09-26,17.0,26520.68,CUST_5508,9,2024,agriculture,Premium
TrustBasket Epsom Salt for plants (1 KG) | Contains Magnesium Sulfur | Water Soluble Plant Fertilizer | Prevents yellowing of leaves | Plant growth supplement,2024-04-17,4.0,6240.16,CUST_2486,4,2024,agriculture,Mid
World Agriculture Regional Supplement: Review of 1982 and Outlook for 1983 (Classic Reprint),2024-06-08,10.0,8651.5,CUST_7205,6,2024,agriculture,Mid
World Agriculture Regional Supplement: Review of 1982 and Outlook for 1983 (Classic Reprint),2023-10-22,16.0,13842.4,CUST_6934,10,2023,agriculture,High
World Agriculture Regional Supplement: Review of 1982 and Outlook for 1983 (Classic Reprint),2024-08-07,3.0,2595.45,CUST_1243,8,2024,agriculture,Low
World Agriculture Regional Supplement: Review of 1982 and Outlook for 1983 (Classic Reprint),2024-06-19,1.0,865.15,CUST_1778,6,2024,agriculture,Low
China World Agriculture Regional Supplement: Review of 1982 and Outlook for 1983 (Classic Reprint),2024-04-07,19.0,9686.77,CUST_2455,4,2024,agriculture,Mid
China World Agriculture Regional Supplement: Review of 1982 and Outlook for 1983 (Classic Reprint),2023-11-12,13.0,6627.79,CUST_9706,11,2023,agriculture,Mid
China World Agriculture Regional Supplement: Review of 1982 and Outlook for 1983 (Classic Reprint),2024-01-25,12.0,6117.96,CUST_5367,1,2024,agriculture,Mid
TrustBasket Nutrient Rich Organic Vermicompost Fertilizer Manure For Plants | Vermicompost For Plants | Compost For Plants Home Garden - 5 Kg,2023-10-10,14.0,1682.52,CUST_9355,10,2023,agriculture,Low
TrustBasket Nutrient Rich Organic Vermicompost Fertilizer Manure For Plants | Vermicompost For Plants | Compost For Plants Home Garden - 5 Kg,2024-09-22,5.0,600.9,CUST_9248,9,2024,agriculture,Low
TrustBasket Nutrient Rich Organic Vermicompost Fertilizer Manure For Plants | Vermicompost For Plants | Compost For Plants Home Garden - 5 Kg,2024-04-28,15.0,1802.7,CUST_4511,4,2024,agriculture,Low
TrustBasket Nutrient Rich Organic Vermicompost Fertilizer Manure For Plants | Vermicompost For Plants | Compost For Plants Home Garden - 5 Kg,2024-06-28,13.0,1562.34,CUST_8144,6,2024,agriculture,Low
TrustBasket Nutrient Rich Organic Vermicompost Fertilizer Manure For Plants | Vermicompost For Plants | Compost For Plants Home Garden - 5 Kg,2024-06-01,4.0,480.72,CUST_8783,6,2024,agriculture,Low
"COIR GARDEN - Epsom Salt for Plants (5 KG) | Contains Magnesium Sulfur | Organic Fertilizer | Prevents Yellowing of Leaves | Plant Growth Supplement for Flowering, Vegetables and Fruits",2024-08-01,15.0,18487.2,CUST_5522,8,2024,agriculture,High
"COIR GARDEN - Epsom Salt for Plants (5 KG) | Contains Magnesium Sulfur | Organic Fertilizer | Prevents Yellowing of Leaves | Plant Growth Supplement for Flowering, Vegetables and Fruits",2023-12-01,16.0,19719.68,CUST_7175,12,2023,agriculture,High
"COIR GARDEN - Epsom Salt for Plants (5 KG) | Contains Magnesium Sulfur | Organic Fertilizer | Prevents Yellowing of Leaves | Plant Growth Supplement for Flowering, Vegetables and Fruits",2024-09-26,19.0,23417.12,CUST_9466,9,2024,agriculture,Premium
"Plant Growth_ Liquid Plant Growth Enhancer Supplement- Root Enhancer For Plants, Pot Plant Growth Enhancers, Take Root Rooting Hormone Supplement For Transplant (2 lit)",2023-12-15,20.0,28094.8,CUST_2343,12,2023,agriculture,Premium
"Plant Growth_ Liquid Plant Growth Enhancer Supplement- Root Enhancer For Plants, Pot Plant Growth Enhancers, Take Root Rooting Hormone Supplement For Transplant (2 lit)",2024-05-29,16.0,22475.84,CUST_4370,5,2024,agriculture,Premium
"Plant Growth_ Liquid Plant Growth Enhancer Supplement- Root Enhancer For Plants, Pot Plant Growth Enhancers, Take Root Rooting Hormone Supplement For Transplant (2 lit)",2024-08-16,14.0,19666.36,CUST_4636,8,2024,agriculture,High
"Plant Growth_ Liquid Plant Growth Enhancer Supplement- Root Enhancer For Plants, Pot Plant Growth Enhancers, Take Root Rooting Hormone Supplement For Transplant (2 lit)",2024-04-20,3.0,4214.22,CUST_9637,4,2024,agriculture,Low
COIR GARDEN - SEA WEED EXTRACT GRANULES- SEA WEED FERTILIZER FOR PLANTS GROWTH PROMOTER - 5 KG,2024-08-18,6.0,3720.12,CUST_3315,8,2024,agriculture,Low
COIR GARDEN - SEA WEED EXTRACT GRANULES- SEA WEED FERTILIZER FOR PLANTS GROWTH PROMOTER - 5 KG,2024-07-14,8.0,4960.16,CUST_9951,7,2024,agriculture,Low
COIR GARDEN - SEA WEED EXTRACT GRANULES- SEA WEED FERTILIZER FOR PLANTS GROWTH PROMOTER - 5 KG,2024-01-20,6.0,3720.12,CUST_7477,1,2024,agriculture,Low
Agriculture Review Flower Growth Fertilizer To Boost Flowering In Plants,2024-08-05,5.0,6277.2,CUST_3114,8,2024,agriculture,Mid
Agriculture Review Flower Growth Fertilizer To Boost Flowering In Plants,2024-05-09,11.0,13809.84,CUST_7284,5,2024,agriculture,High
"GACILÃ‚Â® Manganese Sulphate Mono hydrate Micronutrient Fertilizer | Growth Promoter | Vegetable, Flowers & Garden Plants 100 g",2024-04-18,19.0,19504.07,CUST_9016,4,2024,agriculture,High
GACILÃ‚Â® Manganese Sulphate Micronutrient Fertilizer for all types of Flowers & Plants Growth 250 g,2023-12-02,2.0,3628.96,CUST_1621,12,2023,agriculture,Low
GACILÃ‚Â® Manganese Sulphate Micronutrient Fertilizer for all types of Flowers & Plants Growth 250 g,2024-05-17,13.0,23588.24,CUST_7850,5,2024,agriculture,Premium
GACILÃ‚Â® Manganese Sulphate Micronutrient Fertilizer for all types of Flowers & Plants Growth 250 g,2024-07-11,9.0,16330.32,CUST_9895,7,2024,agriculture,High
"Go Garden Sulphur 90% WG Micronutrient Fertilizer 900G - Enhances Yield Quality & Quantity, Ideal for Fruits, Flowers, Vegetables, Efficient Sulphur Release, Plant Growth Booster",2024-07-26,17.0,30015.71,CUST_2055,7,2024,agriculture,Premium
"Go Garden Sulphur 90% WG Micronutrient Fertilizer 900G - Enhances Yield Quality & Quantity, Ideal for Fruits, Flowers, Vegetables, Efficient Sulphur Release, Plant Growth Booster",2024-03-18,13.0,22953.19,CUST_9427,3,2024,agriculture,Premium
"Go Garden Sulphur 90% WG Micronutrient Fertilizer 900G - Enhances Yield Quality & Quantity, Ideal for Fruits, Flowers, Vegetables, Efficient Sulphur Release, Plant Growth Booster",2024-07-14,17.0,30015.71,CUST_8270,7,2024,agriculture,Premium
Agriculture for Beginners--Special Supplement,2024-07-30,11.0,1135.2,CUST_8557,7,2024,agriculture,Low
Agriculture for Beginners--Special Supplement,2024-01-05,19.0,1960.8,CUST_7905,1,2024,agriculture,Low
TrustBasket Seaweed Extract Granules - 1kg (Pack of 1)| Fertilizer for Plants | Organic Plant Growth Promoter & Bio-Stimulant | Plant Growth Booster,2024-04-27,3.0,5063.82,CUST_3396,4,2024,agriculture,Mid
TrustBasket Seaweed Extract Granules - 1kg (Pack of 1)| Fertilizer for Plants | Organic Plant Growth Promoter & Bio-Stimulant | Plant Growth Booster,2023-10-30,6.0,10127.64,CUST_4027,10,2023,agriculture,High
"Divine Tree Nicotox-D Tobacco Dust Powder Natural Insecticides for Potted Plants,Flower Bed and Lawn Grass (900 Grams) for Agriculture|Gardening Use Only",2024-06-24,10.0,8259.9,CUST_5339,6,2024,agriculture,Mid
"Divine Tree Nicotox-D Tobacco Dust Powder Natural Insecticides for Potted Plants,Flower Bed and Lawn Grass (900 Grams) for Agriculture|Gardening Use Only",2024-04-16,1.0,825.99,CUST_9314,4,2024,agriculture,Low
"Divine Tree Nicotox-D Tobacco Dust Powder Natural Insecticides for Potted Plants,Flower Bed and Lawn Grass (900 Grams) for Agriculture|Gardening Use Only",2023-11-19,2.0,1651.98,CUST_8389,11,2023,agriculture,Low
"Supplement To The Journal Of The Board Of Agriculture, Issues 1-9...",2024-07-15,18.0,24368.76,CUST_4206,7,2024,agriculture,Premium
"Supplement To The Journal Of The Board Of Agriculture, Issues 1-9...",2023-10-08,9.0,12184.38,CUST_6455,10,2023,agriculture,High
"Supplement To The Journal Of The Board Of Agriculture, Issues 1-9...",2024-04-21,13.0,17599.66,CUST_3129,4,2024,agriculture,High
IFFCO Urban Gardens - Sea Secret - 1Kg - Seaweed Extract Granules Ã¢â‚¬â€œ Organic Plant Growth Promoter & Bio-Stimulant,2023-11-15,19.0,13665.18,CUST_3613,11,2023,agriculture,High
IFFCO Urban Gardens - Sea Secret - 1Kg - Seaweed Extract Granules Ã¢â‚¬â€œ Organic Plant Growth Promoter & Bio-Stimulant,2024-06-07,17.0,12226.74,CUST_9788,6,2024,agriculture,High
"Uni Cal - Chelated Calcium 10%| Calcium Supplement, Plant Thickness, Growth Plant Regulators | Imported balanced Water Soluble Fertilizer for all Plants and Agriculture purpose - 500GM",2023-10-13,8.0,14718.48,CUST_2648,10,2023,agriculture,High
"Uni Cal - Chelated Calcium 10%| Calcium Supplement, Plant Thickness, Growth Plant Regulators | Imported balanced Water Soluble Fertilizer for all Plants and Agriculture purpose - 500GM",2023-12-06,11.0,20237.91,CUST_6313,12,2023,agriculture,Premium
"Uni Cal - Chelated Calcium 10%| Calcium Supplement, Plant Thickness, Growth Plant Regulators | Imported balanced Water Soluble Fertilizer for all Plants and Agriculture purpose - 500GM",2023-11-22,15.0,27597.15,CUST_8878,11,2023,agriculture,Premium
"Uni Cal - Chelated Calcium 10%| Calcium Supplement, Plant Thickness, Growth Plant Regulators | Imported balanced Water Soluble Fertilizer for all Plants and Agriculture purpose - 500GM",2024-04-02,5.0,9199.05,CUST_5183,4,2024,agriculture,Mid
"Uni Cal - Chelated Calcium 10%| Calcium Supplement, Plant Thickness, Growth Plant Regulators | Imported balanced Water Soluble Fertilizer for all Plants and Agriculture purpose - 500GM",2023-11-14,12.0,22077.72,CUST_8449,11,2023,agriculture,Premium
"URBAN FARMER- Cef Organic Nitrogen Liquid Booster, Premium Plant Growth Supplement for Healthier Yields and Vibrant Gardens, All Natural Formula for Enhanced Soil Fertility &Nutrient Uptake (250 ML)",2023-12-16,8.0,11007.04,CUST_8127,12,2023,agriculture,High
"URBAN FARMER- Cef Organic Nitrogen Liquid Booster, Premium Plant Growth Supplement for Healthier Yields and Vibrant Gardens, All Natural Formula for Enhanced Soil Fertility &Nutrient Uptake (250 ML)",2024-02-09,20.0,27517.6,CUST_5179,2,2024,agriculture,Premium
"URBAN FARMER- Cef Organic Nitrogen Liquid Booster, Premium Plant Growth Supplement for Healthier Yields and Vibrant Gardens, All Natural Formula for Enhanced Soil Fertility &Nutrient Uptake (250 ML)",2024-08-20,11.0,15134.68,CUST_1939,8,2024,agriculture,High
"Shiviproducts NPK 20-20-20 home gardening Fertilizers for Plants (400 gm),powder + Organic Humic Acid Fertilizer for Root Growth (free sample),powder",2024-09-20,16.0,19924.96,CUST_4378,9,2024,agriculture,High
"Shiviproducts NPK 20-20-20 home gardening Fertilizers for Plants (400 gm),powder + Organic Humic Acid Fertilizer for Root Growth (free sample),powder",2024-05-28,6.0,7471.86,CUST_6144,5,2024,agriculture,Mid
"Shiviproducts NPK 20-20-20 home gardening Fertilizers for Plants (400 gm),powder + Organic Humic Acid Fertilizer for Root Growth (free sample),powder",2023-12-05,8.0,9962.48,CUST_6141,12,2023,agriculture,Mid
"Shiviproducts NPK 20-20-20 home gardening Fertilizers for Plants (400 gm),powder + Organic Humic Acid Fertilizer for Root Growth (free sample),powder",2024-09-08,14.0,17434.34,CUST_5100,9,2024,agriculture,High
"Shiviproducts NPK 20-20-20 home gardening Fertilizers for Plants (400 gm),powder + Organic Humic Acid Fertilizer for Root Growth (free sample),powder",2023-10-21,20.0,24906.2,CUST_5314,10,2023,agriculture,Premium
"Go Garden Zinc Sulphate 33% Micronutrient Fertilizer All Purpose Powder for All Home-Plants, Garden & lawns 400 G",2023-10-08,15.0,16395.6,CUST_6744,10,2023,agriculture,High
"Go Garden Zinc Sulphate 33% Micronutrient Fertilizer All Purpose Powder for All Home-Plants, Garden & lawns 400 G",2024-06-04,5.0,5465.2,CUST_8795,6,2024,agriculture,Mid
"Go Garden Zinc Sulphate 33% Micronutrient Fertilizer All Purpose Powder for All Home-Plants, Garden & lawns 400 G",2023-10-11,12.0,13116.48,CUST_1759,10,2023,agriculture,High
"Go Garden Zinc Sulphate 33% Micronutrient Fertilizer All Purpose Powder for All Home-Plants, Garden & lawns 400 G",2023-11-23,19.0,20767.76,CUST_6779,11,2023,agriculture,Premium
GARDENBASICS Plant Growth Plantonic Tablets | Plant Growth Enhancer Supplement For All Plants | Growth Booster For Pot Plants | Seaweed Tablet For Indoor & Outdoor (Pack Of 2-100 Tablets),2024-08-09,20.0,20598.6,CUST_2406,8,2024,agriculture,Premium
GARDENBASICS Plant Growth Plantonic Tablets | Plant Growth Enhancer Supplement For All Plants | Growth Booster For Pot Plants | Seaweed Tablet For Indoor & Outdoor (Pack Of 2-100 Tablets),2024-05-21,19.0,19568.67,CUST_7038,5,2024,agriculture,High
GARDENBASICS Plant Growth Plantonic Tablets | Plant Growth Enhancer Supplement For All Plants | Growth Booster For Pot Plants | Seaweed Tablet For Indoor & Outdoor (Pack Of 2-100 Tablets),2024-03-11,13.0,13389.09,CUST_4639,3,2024,agriculture,High
GARDENBASICS Plant Growth Plantonic Tablets | Plant Growth Enhancer Supplement For All Plants | Growth Booster For Pot Plants | Seaweed Tablet For Indoor & Outdoor (Pack Of 2-100 Tablets),2024-04-13,11.0,11329.23,CUST_2796,4,2024,agriculture,High
GARDENBASICS Plant Growth Plantonic Tablets | Plant Growth Enhancer Supplement For All Plants | Growth Booster For Pot Plants | Seaweed Tablet For Indoor & Outdoor (Pack Of 2-100 Tablets),2023-11-02,2.0,2059.86,CUST_1312,11,2023,agriculture,Low
"ORGANIC PLANT Bio Organic Potash | Essential Fertilizer for Gardening Granular Potash Fertiliser for Vegetables, Fruits, Garden Flowers, Agriculture Crops, Indoor & Outdoor Home Plants (10kg)",2023-12-07,14.0,1679.72,CUST_5497,12,2023,agriculture,Low
"ORGANIC PLANT Bio Organic Potash | Essential Fertilizer for Gardening Granular Potash Fertiliser for Vegetables, Fruits, Garden Flowers, Agriculture Crops, Indoor & Outdoor Home Plants (10kg)",2023-11-04,19.0,2279.62,CUST_8445,11,2023,agriculture,Low
"ORGANIC PLANT Bio Organic Potash | Essential Fertilizer for Gardening Granular Potash Fertiliser for Vegetables, Fruits, Garden Flowers, Agriculture Crops, Indoor & Outdoor Home Plants (10kg)",2024-06-03,17.0,2039.66,CUST_7258,6,2024,agriculture,Low
"ORGANIC PLANT Bio Organic Potash | Essential Fertilizer for Gardening Granular Potash Fertiliser for Vegetables, Fruits, Garden Flowers, Agriculture Crops, Indoor & Outdoor Home Plants (10kg)",2024-02-25,8.0,959.84,CUST_1757,2,2024,agriculture,Low
"IFFCO Urban Gardens - Nutri Rich 5Kg - Seaweed Fortified Vermicompost for plants, Cow Dung Based, 100% Organic Fertilizer & Manure",2024-04-14,13.0,23982.27,CUST_4809,4,2024,agriculture,Premium
"Supplement to the Extension Horticulturist: March 1, 1924 (Classic Reprint)",2023-12-06,4.0,923.64,CUST_7223,12,2023,agriculture,Low
"IFFCO Urban Gardens - Humic Secret - 500 ML - Humic Acid + Fulvic Acid + Bio-Potash - Organic Liquid Fertilizer for Plants, Soil Conditioner & Root Growth Promoter - 100% Water Soluble",2023-12-22,7.0,10325.07,CUST_9476,12,2023,agriculture,High
"IFFCO Urban Gardens - Humic Secret - 500 ML - Humic Acid + Fulvic Acid + Bio-Potash - Organic Liquid Fertilizer for Plants, Soil Conditioner & Root Growth Promoter - 100% Water Soluble",2024-09-10,11.0,16225.11,CUST_9257,9,2024,agriculture,High
"IFFCO Urban Gardens - Humic Secret - 500 ML - Humic Acid + Fulvic Acid + Bio-Potash - Organic Liquid Fertilizer for Plants, Soil Conditioner & Root Growth Promoter - 100% Water Soluble",2023-11-10,12.0,17700.12,CUST_2175,11,2023,agriculture,High
"IFFCO Urban Gardens - Humic Secret - 500 ML - Humic Acid + Fulvic Acid + Bio-Potash - Organic Liquid Fertilizer for Plants, Soil Conditioner & Root Growth Promoter - 100% Water Soluble",2024-03-01,5.0,7375.05,CUST_7943,3,2024,agriculture,Mid
"IFFCO Urban Gardens - Humic Secret - 500 ML - Humic Acid + Fulvic Acid + Bio-Potash - Organic Liquid Fertilizer for Plants, Soil Conditioner & Root Growth Promoter - 100% Water Soluble",2024-07-10,19.0,28025.19,CUST_7534,7,2024,agriculture,Premium
AGRI82 NANO - 500ML| Increases water absorption | Enhances crop immunity | Defence power results in healthy growth of the plant | Saves the plants from sun stress,2024-02-03,16.0,16873.44,CUST_8604,2,2024,agriculture,High
AGRI82 NANO - 500ML| Increases water absorption | Enhances crop immunity | Defence power results in healthy growth of the plant | Saves the plants from sun stress,2024-02-26,7.0,7382.13,CUST_6045,2,2024,agriculture,Mid
AGRI82 NANO - 500ML| Increases water absorption | Enhances crop immunity | Defence power results in healthy growth of the plant | Saves the plants from sun stress,2024-07-12,2.0,2109.18,CUST_5584,7,2024,agriculture,Low
AGRI82 NANO - 500ML| Increases water absorption | Enhances crop immunity | Defence power results in healthy growth of the plant | Saves the plants from sun stress,2023-10-12,19.0,20037.21,CUST_4812,10,2023,agriculture,Premium
